geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Las Vegas,driving,NA,Nevada,United States,2020-08-11,127.9
city,Las Vegas,driving,NA,Nevada,United States,2020-08-12,128.7
city,Las Vegas,driving,NA,Nevada,United States,2020-08-13,135.01
city,Las Vegas,driving,NA,Nevada,United States,2020-08-14,150.82
city,Las Vegas,driving,NA,Nevada,United States,2020-08-15,147.91
city,Las Vegas,driving,NA,Nevada,United States,2020-08-16,120.49
city,Las Vegas,driving,NA,Nevada,United States,2020-08-17,128.35
city,Las Vegas,driving,NA,Nevada,United States,2020-08-18,126.13
city,Las Vegas,driving,NA,Nevada,United States,2020-08-19,128.17
city,Las Vegas,driving,NA,Nevada,United States,2020-08-20,134.22
city,Las Vegas,driving,NA,Nevada,United States,2020-08-21,152.44
city,Las Vegas,driving,NA,Nevada,United States,2020-08-22,148.65
city,Las Vegas,driving,NA,Nevada,United States,2020-08-23,120.71
city,Las Vegas,driving,NA,Nevada,United States,2020-08-24,125.08
city,Las Vegas,driving,NA,Nevada,United States,2020-08-25,123.74
city,Las Vegas,driving,NA,Nevada,United States,2020-08-26,125.05
city,Las Vegas,driving,NA,Nevada,United States,2020-08-27,129.16
city,Las Vegas,driving,NA,Nevada,United States,2020-08-28,149.23
city,Las Vegas,driving,NA,Nevada,United States,2020-08-29,148.21
city,Las Vegas,driving,NA,Nevada,United States,2020-08-30,121.9
city,Las Vegas,driving,NA,Nevada,United States,2020-08-31,125.78
city,Las Vegas,driving,NA,Nevada,United States,2020-09-01,126.04
city,Las Vegas,driving,NA,Nevada,United States,2020-09-02,126.67
city,Las Vegas,driving,NA,Nevada,United States,2020-09-03,134.93
city,Las Vegas,driving,NA,Nevada,United States,2020-09-04,159.83
city,Las Vegas,driving,NA,Nevada,United States,2020-09-05,167.76
city,Las Vegas,driving,NA,Nevada,United States,2020-09-06,147.33
city,Las Vegas,driving,NA,Nevada,United States,2020-09-07,141.59
city,Las Vegas,driving,NA,Nevada,United States,2020-09-08,128.23
city,Las Vegas,driving,NA,Nevada,United States,2020-09-09,128.39
city,Las Vegas,driving,NA,Nevada,United States,2020-09-10,131.86
city,Las Vegas,driving,NA,Nevada,United States,2020-09-11,152.39
city,Las Vegas,driving,NA,Nevada,United States,2020-09-12,154.05
city,Las Vegas,driving,NA,Nevada,United States,2020-09-13,126.25
city,Las Vegas,driving,NA,Nevada,United States,2020-09-14,131.87
city,Las Vegas,driving,NA,Nevada,United States,2020-09-15,128.45
city,Las Vegas,driving,NA,Nevada,United States,2020-09-16,135.1
city,Las Vegas,driving,NA,Nevada,United States,2020-09-17,133.14
city,Las Vegas,driving,NA,Nevada,United States,2020-09-18,154.18
city,Las Vegas,driving,NA,Nevada,United States,2020-09-19,155.92
city,Las Vegas,driving,NA,Nevada,United States,2020-09-20,124.75
city,Las Vegas,driving,NA,Nevada,United States,2020-09-21,127.96
city,Las Vegas,driving,NA,Nevada,United States,2020-09-22,124.46
city,Las Vegas,driving,NA,Nevada,United States,2020-09-23,123.86
city,Las Vegas,driving,NA,Nevada,United States,2020-09-24,127.48
city,Las Vegas,driving,NA,Nevada,United States,2020-09-25,148.84
city,Las Vegas,driving,NA,Nevada,United States,2020-09-26,151.02
city,Las Vegas,driving,NA,Nevada,United States,2020-09-27,121.77
city,Las Vegas,driving,NA,Nevada,United States,2020-09-28,122.78
