geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Madison,driving,NA,Wisconsin,United States,2020-07-22,146.8
city,Madison,driving,NA,Wisconsin,United States,2020-07-23,148.02
city,Madison,driving,NA,Wisconsin,United States,2020-07-24,166.75
city,Madison,driving,NA,Wisconsin,United States,2020-07-25,147.81
city,Madison,driving,NA,Wisconsin,United States,2020-07-26,123.15
city,Madison,driving,NA,Wisconsin,United States,2020-07-27,140.49
city,Madison,driving,NA,Wisconsin,United States,2020-07-28,142.82
city,Madison,driving,NA,Wisconsin,United States,2020-07-29,148.89
city,Madison,driving,NA,Wisconsin,United States,2020-07-30,156.12
city,Madison,driving,NA,Wisconsin,United States,2020-07-31,173.48
city,Madison,driving,NA,Wisconsin,United States,2020-08-01,154.65
city,Madison,driving,NA,Wisconsin,United States,2020-08-02,126.14
city,Madison,driving,NA,Wisconsin,United States,2020-08-03,144.61
city,Madison,driving,NA,Wisconsin,United States,2020-08-04,147.39
city,Madison,driving,NA,Wisconsin,United States,2020-08-05,148.79
city,Madison,driving,NA,Wisconsin,United States,2020-08-06,153.95
city,Madison,driving,NA,Wisconsin,United States,2020-08-07,172.68
city,Madison,driving,NA,Wisconsin,United States,2020-08-08,155.04
city,Madison,driving,NA,Wisconsin,United States,2020-08-09,126.39
city,Madison,driving,NA,Wisconsin,United States,2020-08-10,134.38
city,Madison,driving,NA,Wisconsin,United States,2020-08-11,153.8
city,Madison,driving,NA,Wisconsin,United States,2020-08-12,154.54
city,Madison,driving,NA,Wisconsin,United States,2020-08-13,162.15
city,Madison,driving,NA,Wisconsin,United States,2020-08-14,183.54
city,Madison,driving,NA,Wisconsin,United States,2020-08-15,169.69
city,Madison,driving,NA,Wisconsin,United States,2020-08-16,154.4
city,Madison,driving,NA,Wisconsin,United States,2020-08-17,157.38
city,Madison,driving,NA,Wisconsin,United States,2020-08-18,159.7
city,Madison,driving,NA,Wisconsin,United States,2020-08-19,160.12
city,Madison,driving,NA,Wisconsin,United States,2020-08-20,163.85
city,Madison,driving,NA,Wisconsin,United States,2020-08-21,184.05
city,Madison,driving,NA,Wisconsin,United States,2020-08-22,168.73
city,Madison,driving,NA,Wisconsin,United States,2020-08-23,139.85
city,Madison,driving,NA,Wisconsin,United States,2020-08-24,155.31
city,Madison,driving,NA,Wisconsin,United States,2020-08-25,160.45
city,Madison,driving,NA,Wisconsin,United States,2020-08-26,165.18
city,Madison,driving,NA,Wisconsin,United States,2020-08-27,168.4
city,Madison,driving,NA,Wisconsin,United States,2020-08-28,184.84
city,Madison,driving,NA,Wisconsin,United States,2020-08-29,175.45
city,Madison,driving,NA,Wisconsin,United States,2020-08-30,149.49
city,Madison,driving,NA,Wisconsin,United States,2020-08-31,156.02
city,Madison,driving,NA,Wisconsin,United States,2020-09-01,157.7
city,Madison,driving,NA,Wisconsin,United States,2020-09-02,156.98
city,Madison,driving,NA,Wisconsin,United States,2020-09-03,164.85
city,Madison,driving,NA,Wisconsin,United States,2020-09-04,199.3
city,Madison,driving,NA,Wisconsin,United States,2020-09-05,168.12
city,Madison,driving,NA,Wisconsin,United States,2020-09-06,127.56
city,Madison,driving,NA,Wisconsin,United States,2020-09-07,134.8
city,Madison,driving,NA,Wisconsin,United States,2020-09-08,132.6
city,Madison,driving,NA,Wisconsin,United States,2020-09-09,136.81
city,Madison,driving,NA,Wisconsin,United States,2020-09-10,137.41
city,Madison,driving,NA,Wisconsin,United States,2020-09-11,162
city,Madison,driving,NA,Wisconsin,United States,2020-09-12,149.71
city,Madison,driving,NA,Wisconsin,United States,2020-09-13,127.71
city,Madison,driving,NA,Wisconsin,United States,2020-09-14,133.85
city,Madison,driving,NA,Wisconsin,United States,2020-09-15,138.9
city,Madison,driving,NA,Wisconsin,United States,2020-09-16,143.93
city,Madison,driving,NA,Wisconsin,United States,2020-09-17,147.27
city,Madison,driving,NA,Wisconsin,United States,2020-09-18,169.78
city,Madison,driving,NA,Wisconsin,United States,2020-09-19,162.61
city,Madison,driving,NA,Wisconsin,United States,2020-09-20,121.47
city,Madison,driving,NA,Wisconsin,United States,2020-09-21,126.43
city,Madison,driving,NA,Wisconsin,United States,2020-09-22,127.82
city,Madison,driving,NA,Wisconsin,United States,2020-09-23,131.03
city,Madison,driving,NA,Wisconsin,United States,2020-09-24,135.23
city,Madison,driving,NA,Wisconsin,United States,2020-09-25,160.41
city,Madison,driving,NA,Wisconsin,United States,2020-09-26,155.17
city,Madison,driving,NA,Wisconsin,United States,2020-09-27,113.69
city,Madison,driving,NA,Wisconsin,United States,2020-09-28,117.24
city,Madison,driving,NA,Wisconsin,United States,2020-09-29,119.75
city,Madison,driving,NA,Wisconsin,United States,2020-09-30,125.65
city,Madison,driving,NA,Wisconsin,United States,2020-10-01,129.28
city,Madison,driving,NA,Wisconsin,United States,2020-10-02,152.14
city,Madison,driving,NA,Wisconsin,United States,2020-10-03,141.64
city,Madison,driving,NA,Wisconsin,United States,2020-10-04,116.59
city,Madison,driving,NA,Wisconsin,United States,2020-10-05,116.58
city,Madison,driving,NA,Wisconsin,United States,2020-10-06,121.02
city,Madison,driving,NA,Wisconsin,United States,2020-10-07,126.4
city,Madison,driving,NA,Wisconsin,United States,2020-10-08,134.25
city,Madison,driving,NA,Wisconsin,United States,2020-10-09,162.51
city,Madison,driving,NA,Wisconsin,United States,2020-10-10,155.56
city,Madison,driving,NA,Wisconsin,United States,2020-10-11,119.79
city,Madison,driving,NA,Wisconsin,United States,2020-10-12,112.17
city,Madison,driving,NA,Wisconsin,United States,2020-10-13,119.27
city,Madison,driving,NA,Wisconsin,United States,2020-10-14,122.45
city,Madison,driving,NA,Wisconsin,United States,2020-10-15,129.19
city,Madison,driving,NA,Wisconsin,United States,2020-10-16,154.47
city,Madison,driving,NA,Wisconsin,United States,2020-10-17,143.91
city,Madison,driving,NA,Wisconsin,United States,2020-10-18,106
city,Madison,driving,NA,Wisconsin,United States,2020-10-19,109.6
city,Madison,driving,NA,Wisconsin,United States,2020-10-20,113.11
city,Madison,driving,NA,Wisconsin,United States,2020-10-21,118.79
city,Madison,driving,NA,Wisconsin,United States,2020-10-22,118.38
city,Madison,driving,NA,Wisconsin,United States,2020-10-23,144.49
city,Madison,driving,NA,Wisconsin,United States,2020-10-24,138.56
city,Madison,driving,NA,Wisconsin,United States,2020-10-25,98.22
city,Madison,driving,NA,Wisconsin,United States,2020-10-26,107.41
city,Madison,driving,NA,Wisconsin,United States,2020-10-27,112.67
city,Madison,driving,NA,Wisconsin,United States,2020-10-28,117.5
city,Madison,driving,NA,Wisconsin,United States,2020-10-29,122.39
city,Madison,driving,NA,Wisconsin,United States,2020-10-30,146.28
city,Madison,driving,NA,Wisconsin,United States,2020-10-31,134.32
city,Madison,driving,NA,Wisconsin,United States,2020-11-01,93.41
city,Madison,driving,NA,Wisconsin,United States,2020-11-02,104.26
city,Madison,driving,NA,Wisconsin,United States,2020-11-03,114.03
city,Madison,driving,NA,Wisconsin,United States,2020-11-04,101.97
city,Madison,driving,NA,Wisconsin,United States,2020-11-05,110.22
city,Madison,driving,NA,Wisconsin,United States,2020-11-06,127.99
city,Madison,driving,NA,Wisconsin,United States,2020-11-07,123.15
city,Madison,driving,NA,Wisconsin,United States,2020-11-08,97.06
city,Madison,driving,NA,Wisconsin,United States,2020-11-09,97.71
city,Madison,driving,NA,Wisconsin,United States,2020-11-10,91.86
city,Madison,driving,NA,Wisconsin,United States,2020-11-11,102.71
city,Madison,driving,NA,Wisconsin,United States,2020-11-12,95.87
city,Madison,driving,NA,Wisconsin,United States,2020-11-13,122.25
city,Madison,driving,NA,Wisconsin,United States,2020-11-14,109.36
city,Madison,driving,NA,Wisconsin,United States,2020-11-15,80.19
city,Madison,driving,NA,Wisconsin,United States,2020-11-16,91.75
city,Madison,driving,NA,Wisconsin,United States,2020-11-17,95.83
city,Madison,driving,NA,Wisconsin,United States,2020-11-18,98.29
city,Madison,driving,NA,Wisconsin,United States,2020-11-19,102.25
city,Madison,driving,NA,Wisconsin,United States,2020-11-20,119.45
city,Madison,driving,NA,Wisconsin,United States,2020-11-21,106.08
city,Madison,driving,NA,Wisconsin,United States,2020-11-22,81.93
city,Madison,driving,NA,Wisconsin,United States,2020-11-23,98.82
city,Madison,driving,NA,Wisconsin,United States,2020-11-24,97.68
city,Madison,driving,NA,Wisconsin,United States,2020-11-25,112.57
city,Madison,driving,NA,Wisconsin,United States,2020-11-26,44.22
city,Madison,driving,NA,Wisconsin,United States,2020-11-27,90.75
city,Madison,driving,NA,Wisconsin,United States,2020-11-28,91.35
city,Madison,driving,NA,Wisconsin,United States,2020-11-29,79.02
city,Madison,driving,NA,Wisconsin,United States,2020-11-30,90.6
city,Madison,driving,NA,Wisconsin,United States,2020-12-01,93.62
city,Madison,driving,NA,Wisconsin,United States,2020-12-02,94.84
city,Madison,driving,NA,Wisconsin,United States,2020-12-03,95.1
city,Madison,driving,NA,Wisconsin,United States,2020-12-04,114.43
city,Madison,driving,NA,Wisconsin,United States,2020-12-05,108.82
city,Madison,driving,NA,Wisconsin,United States,2020-12-06,81.52
city,Madison,driving,NA,Wisconsin,United States,2020-12-07,91.14
city,Madison,driving,NA,Wisconsin,United States,2020-12-08,94.25
city,Madison,driving,NA,Wisconsin,United States,2020-12-09,100.78
city,Madison,driving,NA,Wisconsin,United States,2020-12-10,101.03
city,Madison,driving,NA,Wisconsin,United States,2020-12-11,112.01
city,Madison,driving,NA,Wisconsin,United States,2020-12-12,87.27
city,Madison,driving,NA,Wisconsin,United States,2020-12-13,86.7
city,Madison,driving,NA,Wisconsin,United States,2020-12-14,96.6
city,Madison,driving,NA,Wisconsin,United States,2020-12-15,99.72
city,Madison,driving,NA,Wisconsin,United States,2020-12-16,104.53
city,Madison,driving,NA,Wisconsin,United States,2020-12-17,105.61
city,Madison,driving,NA,Wisconsin,United States,2020-12-18,124.07
city,Madison,driving,NA,Wisconsin,United States,2020-12-19,113.96
city,Madison,driving,NA,Wisconsin,United States,2020-12-20,88.82
city,Madison,driving,NA,Wisconsin,United States,2020-12-21,107.56
city,Madison,driving,NA,Wisconsin,United States,2020-12-22,113.03
city,Madison,driving,NA,Wisconsin,United States,2020-12-23,118.09
city,Madison,driving,NA,Wisconsin,United States,2020-12-24,70.88
city,Madison,driving,NA,Wisconsin,United States,2020-12-25,38.52
city,Madison,driving,NA,Wisconsin,United States,2020-12-26,83.23
city,Madison,driving,NA,Wisconsin,United States,2020-12-27,76.92
city,Madison,driving,NA,Wisconsin,United States,2020-12-28,103.61
city,Madison,driving,NA,Wisconsin,United States,2020-12-29,93.82
city,Madison,driving,NA,Wisconsin,United States,2020-12-30,94.2
city,Madison,driving,NA,Wisconsin,United States,2020-12-31,107.4
city,Madison,driving,NA,Wisconsin,United States,2021-01-01,70.54
city,Madison,driving,NA,Wisconsin,United States,2021-01-02,96.41
city,Madison,driving,NA,Wisconsin,United States,2021-01-03,80.54
city,Madison,driving,NA,Wisconsin,United States,2021-01-04,91.72
city,Madison,driving,NA,Wisconsin,United States,2021-01-05,98.15
city,Madison,driving,NA,Wisconsin,United States,2021-01-06,94.53
city,Madison,driving,NA,Wisconsin,United States,2021-01-07,94.14
city,Madison,driving,NA,Wisconsin,United States,2021-01-08,110.26
city,Madison,driving,NA,Wisconsin,United States,2021-01-09,109.22
city,Madison,driving,NA,Wisconsin,United States,2021-01-10,83.56
city,Madison,driving,NA,Wisconsin,United States,2021-01-11,91.16
city,Madison,driving,NA,Wisconsin,United States,2021-01-12,93.64
city,Madison,driving,NA,Wisconsin,United States,2021-01-13,95.98
city,Madison,driving,NA,Wisconsin,United States,2021-01-14,91.93
city,Madison,driving,NA,Wisconsin,United States,2021-01-15,113.09
city,Madison,driving,NA,Wisconsin,United States,2021-01-16,104.66
city,Madison,driving,NA,Wisconsin,United States,2021-01-17,87.42
city,Madison,driving,NA,Wisconsin,United States,2021-01-18,96.45
city,Madison,driving,NA,Wisconsin,United States,2021-01-19,93.11
city,Madison,driving,NA,Wisconsin,United States,2021-01-20,95.46
city,Madison,driving,NA,Wisconsin,United States,2021-01-21,103.23
city,Madison,driving,NA,Wisconsin,United States,2021-01-22,122.47
city,Madison,driving,NA,Wisconsin,United States,2021-01-23,119.46
city,Madison,driving,NA,Wisconsin,United States,2021-01-24,85.19
city,Madison,driving,NA,Wisconsin,United States,2021-01-25,93.47
