geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Phoenix,driving,NA,Arizona,United States,2020-07-06,92
city,Phoenix,driving,NA,Arizona,United States,2020-07-07,94.51
city,Phoenix,driving,NA,Arizona,United States,2020-07-08,95.44
city,Phoenix,driving,NA,Arizona,United States,2020-07-09,97.22
city,Phoenix,driving,NA,Arizona,United States,2020-07-10,107
city,Phoenix,driving,NA,Arizona,United States,2020-07-11,96.3
city,Phoenix,driving,NA,Arizona,United States,2020-07-12,74.68
city,Phoenix,driving,NA,Arizona,United States,2020-07-13,92.78
city,Phoenix,driving,NA,Arizona,United States,2020-07-14,95.76
city,Phoenix,driving,NA,Arizona,United States,2020-07-15,97.39
city,Phoenix,driving,NA,Arizona,United States,2020-07-16,102.7
city,Phoenix,driving,NA,Arizona,United States,2020-07-17,109.87
city,Phoenix,driving,NA,Arizona,United States,2020-07-18,100.7
city,Phoenix,driving,NA,Arizona,United States,2020-07-19,77.64
city,Phoenix,driving,NA,Arizona,United States,2020-07-20,94.26
city,Phoenix,driving,NA,Arizona,United States,2020-07-21,97.36
city,Phoenix,driving,NA,Arizona,United States,2020-07-22,99.2
city,Phoenix,driving,NA,Arizona,United States,2020-07-23,100.71
city,Phoenix,driving,NA,Arizona,United States,2020-07-24,111.93
city,Phoenix,driving,NA,Arizona,United States,2020-07-25,105.53
city,Phoenix,driving,NA,Arizona,United States,2020-07-26,81.7
city,Phoenix,driving,NA,Arizona,United States,2020-07-27,97.23
city,Phoenix,driving,NA,Arizona,United States,2020-07-28,99.65
city,Phoenix,driving,NA,Arizona,United States,2020-07-29,103.79
city,Phoenix,driving,NA,Arizona,United States,2020-07-30,104.69
city,Phoenix,driving,NA,Arizona,United States,2020-07-31,115.51
city,Phoenix,driving,NA,Arizona,United States,2020-08-01,111.57
city,Phoenix,driving,NA,Arizona,United States,2020-08-02,85.14
city,Phoenix,driving,NA,Arizona,United States,2020-08-03,100.43
city,Phoenix,driving,NA,Arizona,United States,2020-08-04,102.72
city,Phoenix,driving,NA,Arizona,United States,2020-08-05,100.07
city,Phoenix,driving,NA,Arizona,United States,2020-08-06,102.48
city,Phoenix,driving,NA,Arizona,United States,2020-08-07,116.93
city,Phoenix,driving,NA,Arizona,United States,2020-08-08,111.19
city,Phoenix,driving,NA,Arizona,United States,2020-08-09,84.28
city,Phoenix,driving,NA,Arizona,United States,2020-08-10,97.55
city,Phoenix,driving,NA,Arizona,United States,2020-08-11,101.6
city,Phoenix,driving,NA,Arizona,United States,2020-08-12,101.83
city,Phoenix,driving,NA,Arizona,United States,2020-08-13,104.75
city,Phoenix,driving,NA,Arizona,United States,2020-08-14,122.16
city,Phoenix,driving,NA,Arizona,United States,2020-08-15,114.94
city,Phoenix,driving,NA,Arizona,United States,2020-08-16,86.59
city,Phoenix,driving,NA,Arizona,United States,2020-08-17,102.15
